Site_ID,year
26-163-0033,2003
26-163-0033,2004
26-163-0033,2005
26-163-0033,2006
26-163-0033,2007
27-053-0963,2002
27-053-0963,2003
27-053-0963,2004
27-053-0963,2005
27-053-0963,2006
27-053-0963,2007
27-109-5008,2002
27-109-5008,2003
27-109-5008,2004
27-109-5008,2005
27-109-5008,2006
27-109-5008,2007
27-109-5008,2008
27-133-9000,2003
27-133-9000,2004
27-133-9000,2005
27-133-9000,2006
27-133-9000,2007
27-133-9000,2008
27-137-0034,2002
27-137-0034,2003
27-137-0034,2004
27-137-0034,2005
27-169-9000,2003
27-169-9000,2004
27-169-9000,2005
27-169-9000,2006
27-169-9000,2007
27-169-9000,2008
28-035-0004,2003
28-035-0004,2004
28-035-0004,2005
28-043-0001,2003
28-043-0001,2004
28-043-0001,2005
28-043-0001,2006
28-047-0008,2002
28-047-0008,2003
28-047-0008,2004
28-047-0008,2005
28-047-0008,2006
28-047-0008,2007
28-047-0008,2008
28-049-0018,2002
28-049-0018,2003
28-049-0018,2004
28-049-0018,2005
28-049-0018,2006
28-067-0002,2003
28-067-0002,2004
28-067-0002,2005
29-039-0001,2003
29-039-0001,2004
29-039-0001,2005
29-039-0001,2006
29-039-0001,2007
29-039-0001,2008
29-047-0005,2003
29-047-0005,2004
29-047-0005,2005
29-047-0005,2006
29-047-0005,2007
29-047-0005,2008
29-099-0012,2002
29-099-0012,2003
29-099-0012,2004
29-099-0012,2005
29-099-0012,2006
29-099-0012,2007
29-099-0012,2008
29-186-0005,2004
29-186-0005,2005
29-186-0005,2006
29-186-0005,2007
29-207-0001,2001
29-207-0001,2002
29-207-0001,2006
29-207-0001,2007
29-207-0001,2008
29-213-0003,2002
29-213-0003,2003
29-213-0003,2004
29-213-0003,2005
29-213-0003,2006
29-213-0003,2007
29-213-0003,2008
29-510-0085,2001
29-510-0085,2002
29-510-0085,2003
29-510-0085,2004
29-510-0085,2005
29-510-0085,2006
29-510-0085,2007
30-029-8001,2001
30-029-8001,2002
30-029-8001,2003
30-029-8001,2004
30-029-8001,2005
30-029-8001,2006
30-029-8001,2007
30-029-8001,2008
30-029-9001,2000
30-029-9001,2001
30-029-9001,2002
30-029-9001,2003
30-029-9001,2004
30-029-9001,2005
30-029-9001,2006
30-029-9001,2007
30-029-9001,2008
30-047-9000,2003
30-047-9000,2004
30-047-9000,2005
30-047-9000,2006
30-047-9000,2007
30-047-9000,2008
30-053-0018,2003
30-053-0018,2004
30-053-0018,2005
30-053-0018,2006
30-053-0018,2007
30-053-0018,2008
30-063-0031,2003
30-063-0031,2004
30-063-0031,2005
30-063-0031,2006
30-063-0031,2007
30-077-9000,2001
30-077-9000,2002
30-077-9000,2003
30-077-9000,2004
30-077-9000,2005
30-077-9000,2006
30-077-9000,2007
30-077-9000,2008
30-081-9000,2001
30-081-9000,2002
30-081-9000,2003
30-081-9000,2004
30-081-9000,2005
30-081-9000,2006
30-081-9000,2007
30-081-9000,2008
30-085-9000,2003
30-085-9000,2004
30-085-9000,2005
30-085-9000,2006
30-085-9000,2007
30-085-9000,2008
30-087-0762,2003
30-087-0762,2004
30-087-0762,2005
30-087-0762,2006
30-087-0762,2007
30-087-0762,2008
30-089-9000,2001
30-089-9000,2002
30-089-9000,2003
30-089-9000,2004
30-089-9000,2005
30-089-9000,2006
30-089-9000,2007
30-089-9000,2008
30-091-9000,2000
30-091-9000,2001
30-091-9000,2002
30-091-9000,2003
30-091-9000,2004
30-091-9000,2005
30-091-9000,2006
30-091-9000,2007
30-091-9000,2008
31-055-0019,2003
31-055-0019,2004
31-055-0019,2005
31-055-0019,2006
31-055-0019,2007
31-055-0019,2008
31-171-9000,2003
31-171-9000,2004
31-171-9000,2005
31-171-9000,2006
31-171-9000,2007
31-173-9000,2004
31-173-9000,2005
31-173-9000,2006
31-173-9000,2007
31-173-9000,2008
32-007-9000,2000
32-007-9000,2001
32-007-9000,2002
32-007-9000,2003
32-007-9000,2004
32-007-9000,2005
32-007-9000,2006
32-007-9000,2007
32-007-9000,2008
32-031-0016,2002
32-031-0016,2003
32-031-0016,2004
32-031-0016,2005
32-031-0016,2006
32-031-0016,2007
32-031-0016,2008
32-033-0101,2001
32-033-0101,2002
32-033-0101,2003
32-033-0101,2004
32-033-0101,2005
32-033-0101,2006
32-033-0101,2007
32-033-0101,2008
32-033-9000,2000
